example_id                                                                              | status  | run_time             |
./spec/controllers/tournaments_controller_spec.rb[1:1:3:2]                              | passed  | 1.63 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:1:4:1]                              | passed  | 1.53 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:2:1]                                | passed  | 1.87 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:2:2]                                | passed  | 1.7 seconds          |
./spec/controllers/tournaments_controller_spec.rb[1:2:3:1]                              | passed  | 1.59 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:2:4:1]                              | passed  | 6 minutes 57 seconds |
./spec/controllers/tournaments_controller_spec.rb[1:3:1:1]                              | passed  | 1.54 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:3:2:1:1]                            | passed  | 1.66 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:3:2:1:2]                            | passed  | 1.68 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:3:2:1:3]                            | passed  | 1.65 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:3:2:1:4]                            | passed  | 1.66 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:3:2:1:5]                            | passed  | 1.66 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:3:2:1:6:1]                          | passed  | 1.7 seconds          |
./spec/controllers/tournaments_controller_spec.rb[1:3:2:1:6:2]                          | passed  | 1.69 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:3:2:1:6:3]                          | passed  | 1.79 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:3:2:1:6:4]                          | passed  | 1.69 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:3:2:1:6:5:1:1:1]                    | passed  | 1.7 seconds          |
./spec/controllers/tournaments_controller_spec.rb[1:3:2:1:6:5:1:1:2]                    | passed  | 1.72 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:3:2:1:6:5:2:1:1]                    | passed  | 1.69 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:3:2:1:6:5:2:1:2]                    | passed  | 1.8 seconds          |
./spec/controllers/tournaments_controller_spec.rb[1:3:2:1:6:5:3:1:1]                    | passed  | 1.73 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:3:2:1:6:5:3:1:2]                    | passed  | 1.7 seconds          |
./spec/controllers/tournaments_controller_spec.rb[1:3:2:1:7]                            | passed  | 1.64 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:3:2:2:1]                            | passed  | 1.65 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:3:2:3:1]                            | passed  | 1.64 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:3:2:4:1]                            | passed  | 1.66 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:3:2:5:1]                            | passed  | 1.65 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:3:2:6:1]                            | passed  | 1.67 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:4:1:1:1]                            | passed  | 1.5 seconds          |
./spec/controllers/tournaments_controller_spec.rb[1:4:1:2:1]                            | passed  | 1.96 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:4:1:2:2]                            | passed  | 1.64 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:4:1:2:3:1]                          | passed  | 4.46 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:4:1:2:3:2]                          | passed  | 4.5 seconds          |
./spec/controllers/tournaments_controller_spec.rb[1:4:1:2:3:3]                          | passed  | 4.57 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:4:1:2:3:4]                          | passed  | 4.49 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:4:1:2:3:5:1]                        | passed  | 4.45 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:4:1:2:3:5:2]                        | passed  | 4.43 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:4:1:2:3:5:3]                        | passed  | 4.54 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:4:1:2:3:5:4]                        | passed  | 4.45 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:4:1:2:3:6:1]                        | passed  | 4.5 seconds          |
./spec/controllers/tournaments_controller_spec.rb[1:4:1:2:3:6:2]                        | passed  | 4.48 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:4:1:2:3:6:3]                        | passed  | 4.5 seconds          |
./spec/controllers/tournaments_controller_spec.rb[1:4:1:2:3:6:4]                        | passed  | 4.46 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:4:1:2:3:7]                          | passed  | 4.5 seconds          |
./spec/controllers/tournaments_controller_spec.rb[1:4:1:3:1]                            | passed  | 1.89 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:5:1:1]                              | passed  | 1.52 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:5:2:1]                              | passed  | 1.84 seconds         |
./spec/controllers/tournaments_controller_spec.rb[1:5:2:2]                              | passed  | 1.7 seconds          |
./spec/controllers/tournaments_controller_spec.rb[1:5:3:1]                              | passed  | 1.89 seconds         |
./spec/factorybot_lint_spec.rb[1:1]                                                     | passed  | 40.88 seconds        |
./spec/interactors/add_group_stage_to_tournament_interactor_spec.rb[1:1:1:1]            | unknown |                      |
./spec/interactors/add_group_stage_to_tournament_interactor_spec.rb[1:1:1:2]            | unknown |                      |
./spec/interactors/add_group_stage_to_tournament_interactor_spec.rb[1:1:1:3]            | unknown |                      |
./spec/interactors/add_group_stage_to_tournament_interactor_spec.rb[1:1:1:4]            | unknown |                      |
./spec/interactors/add_group_stage_to_tournament_interactor_spec.rb[1:2:1]              | unknown |                      |
./spec/interactors/add_group_stage_to_tournament_interactor_spec.rb[1:3:1]              | unknown |                      |
./spec/interactors/add_group_stage_to_tournament_interactor_spec.rb[1:4:1]              | unknown |                      |
./spec/interactors/add_playoffs_to_tournament_interactor_spec.rb[1:1:1:1]               | unknown |                      |
./spec/interactors/add_playoffs_to_tournament_interactor_spec.rb[1:1:1:2]               | unknown |                      |
./spec/interactors/add_playoffs_to_tournament_interactor_spec.rb[1:1:2:1]               | unknown |                      |
./spec/interactors/add_playoffs_to_tournament_interactor_spec.rb[1:1:2:2]               | unknown |                      |
./spec/interactors/add_playoffs_to_tournament_interactor_spec.rb[1:2:1]                 | unknown |                      |
./spec/interactors/add_playoffs_to_tournament_interactor_spec.rb[1:3:1]                 | unknown |                      |
./spec/interactors/advance_teams_in_intermediate_stage_interactor_spec.rb[1:1:1:1]      | unknown |                      |
./spec/interactors/advance_teams_in_intermediate_stage_interactor_spec.rb[1:1:2]        | unknown |                      |
./spec/interactors/advance_teams_in_intermediate_stage_interactor_spec.rb[1:2:1:1:1]    | unknown |                      |
./spec/interactors/advance_teams_in_intermediate_stage_interactor_spec.rb[1:2:2:1:1]    | unknown |                      |
./spec/interactors/populate_match_below_interactor_spec.rb[1:1:1]                       | unknown |                      |
./spec/interactors/populate_match_below_interactor_spec.rb[1:1:2]                       | unknown |                      |
./spec/interactors/populate_match_below_interactor_spec.rb[1:2:1]                       | unknown |                      |
./spec/interactors/save_application_record_object_to_database_interactor_spec.rb[1:1:1] | unknown |                      |
./spec/interactors/save_application_record_object_to_database_interactor_spec.rb[1:1:2] | unknown |                      |
./spec/interactors/save_application_record_object_to_database_interactor_spec.rb[1:2:1] | unknown |                      |
./spec/interactors/update_groups_group_scores_interactor_spec.rb[1:1:1]                 | unknown |                      |
./spec/interactors/update_groups_group_scores_interactor_spec.rb[1:1:2]                 | unknown |                      |
./spec/interactors/update_groups_group_scores_interactor_spec.rb[1:2:1]                 | unknown |                      |
./spec/models/group_score_spec.rb[1:1:1]                                                | unknown |                      |
./spec/models/group_score_spec.rb[1:1:2]                                                | unknown |                      |
./spec/models/group_spec.rb[1:1:1]                                                      | unknown |                      |
./spec/models/group_spec.rb[1:1:2]                                                      | unknown |                      |
./spec/models/group_spec.rb[1:1:3]                                                      | unknown |                      |
./spec/models/group_spec.rb[1:2:1]                                                      | unknown |                      |
./spec/models/match_score_spec.rb[1:1:1]                                                | unknown |                      |
./spec/models/match_score_spec.rb[1:1:2]                                                | unknown |                      |
./spec/models/match_score_spec.rb[1:2:1]                                                | unknown |                      |
